Birth Date (Medallists.Csv),Code (Medallists.Csv),Country (Medallists.Csv),Country Code (Medallists.Csv),Discipline,Event,Gender (Medallists.Csv),Medal Code,Medal Date,Medal Type,Name (Medallists.Csv),Number of Female Medallists,Number of Male Medallists
20-Mar-97,1538304,Argentina,ARG,Hockey,Women,Female,3,,Bronze ,TOCCALINO Sofia,1,0
17-Jul-97,1538305,Argentina,ARG,Hockey,Women,Female,3,,Bronze ,TRINCHINETTI Eugenia,1,0
22-Dec-97,1538266,Argentina,ARG,Hockey,Women,Female,3,,Bronze ,COSENTINO Cristina,1,0
20-Jan-99,1538277,Argentina,ARG,Hockey,Women,Female,3,,Bronze ,JANKUNAS Julieta,1,0
08-Oct-02,1538261,Argentina,ARG,Hockey,Women,Female,3,,Bronze ,CAIRO Sofia,1,0
28-Jan-03,1538294,Argentina,ARG,Hockey,Women,Female,3,,Bronze ,RAPOSO RUIZ de los LLANOS Valentina,1,0
22-Jun-04,1538262,Argentina,ARG,Hockey,Women,Female,3,,Bronze ,CASAS Lara,1,0
29-Mar-05,1538263,Argentina,ARG,Hockey,Women,Female,3,,Bronze ,CASTELLARO MORELLO Juana,1,0
05-Jun-06,1900397,Argentina,ARG,Hockey,Women,Female,3,,Bronze ,DIAZ de ARMAS Zoe,1,0
01-Oct-87,1953812,Brazil,BRA,Judo,Mixed Team,Female,3,,Bronze ,QUADROS Ketleyn,1,0
24-Apr-92,1953835,Brazil,BRA,Judo,Mixed Team,Female,3,,Bronze ,SILVA Rafaela,1,0
20-May-98,1953777,Brazil,BRA,Judo,Mixed Team,Female,3,,Bronze ,SOUZA Beatriz,1,0
01-Mar-99,1953817,Brazil,BRA,Judo,Mixed Team,Female,3,,Bronze ,PIMENTA Larissa,1,0
14-Feb-94,1928082,Korea,KOR,Judo,Mixed Team,Female,3,,Bronze ,YOON Hyunji,1,0
12-Jan-96,1940098,Korea,KOR,Judo,Mixed Team,Female,3,,Bronze ,LEE Hyekyeong,1,0
15-Jul-96,1940097,Korea,KOR,Judo,Mixed Team,Female,3,,Bronze ,JUNG Yerin,1,0
07-Jan-00,1928070,Korea,KOR,Judo,Mixed Team,Female,3,,Bronze ,KIM Hayun,1,0
12-Dec-00,1928071,Korea,KOR,Judo,Mixed Team,Female,3,,Bronze ,KIM Jisu,1,0
19-Dec-02,1928067,Korea,KOR,Judo,Mixed Team,Female,3,,Bronze ,HUH Mimi,1,0
18-May-92,1945670,Australia,AUS,Rowing,Women's Pair,Female,3,,Bronze ,MORRISON Jess,1,0
12-Sep-96,1945644,Australia,AUS,Rowing,Women's Pair,Female,3,,Bronze ,McINTYRE Annabelle,1,0
18-Feb-97,1906483,Germany,GER,Rowing,Women's Quadruple Sculls,Female,3,,Bronze ,GREITEN Pia,1,0
29-Nov-98,1906506,Germany,GER,Rowing,Women's Quadruple Sculls,Female,3,,Bronze ,SCHENDEKEHL Tabea,1,0
19-May-99,1906494,Germany,GER,Rowing,Women's Quadruple Sculls,Female,3,,Bronze ,MENZEL Leonie,1,0
20-Nov-99,1906511,Germany,GER,Rowing,Women's Quadruple Sculls,Female,3,,Bronze ,VOELZ Maren,1,0
01-Oct-94,1901075,Great Britain,GBR,Rowing,Women's Double Sculls,Female,3,,Bronze ,HODGKINS BYRNE Mathilda,1,0
31-Dec-97,1901099,Great Britain,GBR,Rowing,Women's Double Sculls,Female,3,,Bronze ,WILDE Rebecca,1,0
14-Feb-94,1901096,Great Britain,GBR,Rowing,Women's Eight,Female,3,,Bronze ,TAYLOR Harriet,1,0
24-May-94,1901080,Great Britain,GBR,Rowing,Women's Eight,Female,3,,Bronze ,McKELLAR Rowan,1,0
08-Nov-94,1901065,Great Britain,GBR,Rowing,Women's Eight,Female,3,,Bronze ,FORD Emily,1,0
05-Oct-95,1901044,Great Britain,GBR,Rowing,Women's Eight,Female,3,,Bronze ,CAMPBELL-ORDE Annie,1,0
29-Nov-96,1901079,Great Britain,GBR,Rowing,Women's Eight,Female,3,,Bronze ,LONG Heidi,1,0
13-Jan-98,1901094,Great Britain,GBR,Rowing,Women's Eight,Female,3,,Bronze ,STEWART Eve,1,0
20-Aug-98,1901077,Great Britain,GBR,Rowing,Women's Eight,Female,3,,Bronze ,IRWIN Lauren,1,0
14-Oct-99,1901059,Great Britain,GBR,Rowing,Women's Eight,Female,3,,Bronze ,DUNFORD Holly,1,0
14-Sep-95,1977159,Greece,GRE,Rowing,Lightweight Women's Double Sculls,Female,3,,Bronze ,FITSIOU Zoi,1,0
23-Sep-05,1977101,Greece,GRE,Rowing,Lightweight Women's Double Sculls,Female,3,,Bronze ,KONTOU Dimitra,1,0
11-Aug-93,1927007,New Zealand,NZL,Rowing,Women's Four,Female,3,,Bronze ,SPOORS Phoebe,1,0
18-Dec-93,1926999,New Zealand,NZL,Rowing,Women's Four,Female,3,,Bronze ,WILLIAMS Kerri,1,0
07-Jun-96,1926998,New Zealand,NZL,Rowing,Women's Four,Female,3,,Bronze ,GOWLER Jackie,1,0
16-Aug-96,1927003,New Zealand,NZL,Rowing,Women's Four,Female,3,,Bronze ,WADDY Davina,1,0
23-Dec-84,1559559,France,FRA,Sailing,Women's Skiff,Female,3,,Bronze ,PICON Charline,1,0
27-Nov-86,1559558,France,FRA,Sailing,Women's Skiff,Female,3,,Bronze ,STEYAERT Sarah,1,0
24-Jul-94,1918832,New Zealand,NZL,Sailing,Mixed Multihull,Female,3,,Bronze ,DAWSON Erica,1,0
24-May-95,1564651,Sweden,SWE,Sailing,Mixed Dinghy,Female,3,,Bronze ,KARLSSON Lovisa,1,0
01-Aug-04,1913978,China,CHN,Shooting,Skeet Mixed Team,Female,3,,Bronze ,JIANG Yiting,1,0
24-May-94,1946177,Australia,AUS,Swimming,Mixed 4 x 100m Medley Relay,Female,3,,Bronze ,McKEON Emma,1,0
12-Jul-01,1946198,Australia,AUS,Swimming,Mixed 4 x 100m Medley Relay,Female,3,,Bronze ,McKEOWN Kaylee,1,0
02-Apr-04,1946218,Australia,AUS,Swimming,Mixed 4 x 100m Medley Relay,Female,3,,Bronze ,O'CALLAGHAN Mollie,1,0
03-Oct-05,1946183,Australia,AUS,Swimming,Mixed 4 x 100m Medley Relay,Female,3,,Bronze ,ANDERSON Iona,1,0
15-Jan-98,1945157,China,CHN,Swimming,Women's 4 x 100m Medley Relay,Female,3,,Bronze ,WANG Xueer,1,0
19-Apr-98,1945125,China,CHN,Swimming,Women's 4 x 100m Medley Relay,Female,3,,Bronze ,ZHANG Yufei,1,0
26-Jan-02,1945159,China,CHN,Swimming,Women's 4 x 100m Medley Relay,Female,3,,Bronze ,YANG Junxuan,1,0
28-Jan-03,1945206,China,CHN,Swimming,Women's 4 x 100m Medley Relay,Female,3,,Bronze ,WU Qingfeng,1,0
14-Mar-04,1945200,China,CHN,Swimming,Women's 4 x 100m Medley Relay,Female,3,,Bronze ,TANG Qianting,1,0
12-Aug-04,1945202,China,CHN,Swimming,Women's 4 x 100m Medley Relay,Female,3,,Bronze ,WAN Letian,1,0
05-Sep-05,1945164,China,CHN,Swimming,Women's 4 x 100m Medley Relay,Female,3,,Bronze ,YU Yiting,1,0
16-Jun-99,1945223,China,CHN,Swimming,Women's 4 x 200m Freestyle Relay,Female,3,,Bronze ,LIU Yaxin,1,0
26-Jan-02,1945159,China,CHN,Swimming,Women's 4 x 200m Freestyle Relay,Female,3,,Bronze ,YANG Junxuan,1,0
03-Mar-02,1945169,China,CHN,Swimming,Women's 4 x 200m Freestyle Relay,Female,3,,Bronze ,LI Bingjie,1,0
04-Sep-03,1945224,China,CHN,Swimming,Women's 4 x 200m Freestyle Relay,Female,3,,Bronze ,TANG Muhan,1,0
23-Sep-03,1945171,China,CHN,Swimming,Women's 4 x 200m Freestyle Relay,Female,3,,Bronze ,GE Chutong,1,0
24-Jan-08,1945222,China,CHN,Swimming,Women's 4 x 200m Freestyle Relay,Female,3,,Bronze ,KONG Yaqi,1,0
28-Oct-92,1936419,Korea,KOR,Table Tennis,Women's Team,Female,3,,Bronze ,JEON Jihee,1,0
02-May-95,1936425,Korea,KOR,Table Tennis,Women's Team,Female,3,,Bronze ,LEE Eunhye,1,0
05-Jul-04,1936435,Korea,KOR,Table Tennis,Women's Team,Female,3,,Bronze ,SHIN Yubin,1,0
01-Apr-92,1972627,Canada,CAN,Tennis,Mixed Doubles,Female,3,,Bronze ,DABROWSKI Gabriela,1,0
08-Oct-96,1563681,Spain,ESP,Tennis,Women's Doubles,Female,3,,Bronze ,SORRIBES TORMO Sara,1,0
01-Jan-98,1563687,Spain,ESP,Tennis,Women's Doubles,Female,3,,Bronze ,BUCSA Cristina,1,0
27-Dec-91,1904244,Great Britain,GBR,Triathlon,Mixed Relay,Female,3,,Bronze ,POTTER Beth,1,0
15-Mar-94,1904248,Great Britain,GBR,Triathlon,Mixed Relay,Female,3,,Bronze ,TAYLOR-BROWN Georgia,1,0
15-May-87,1964180,Brazil,BRA,Volleyball,Women,Female,3,,Bronze ,DAHER de MENEZES Thaisa,1,0
03-Mar-89,1964140,Brazil,BRA,Volleyball,Women,Female,3,,Bronze ,SILVA CARNEIRO Macris Fernanda,1,0
28-Apr-90,1964169,Brazil,BRA,Volleyball,Women,Female,3,,Bronze ,RATZKE Roberta Silva,1,0
08-Apr-91,1964063,Brazil,BRA,Volleyball,Women,Female,3,,Bronze ,da SILVA Ana Carolina,1,0
09-Apr-94,1964167,Brazil,BRA,Volleyball,Women,Female,3,,Bronze ,MONTIBELLER Rosamaria,1,0
19-May-94,1964094,Brazil,BRA,Volleyball,Women,Female,3,,Bronze ,BRAGA GUIMARAES Gabriela,1,0
08-Jan-96,1964136,Brazil,BRA,Volleyball,Women,Female,3,,Bronze ,GERALDO TEIXEIRA Lorenne,1,0
10-Apr-97,1964151,Brazil,BRA,Volleyball,Women,Female,3,,Bronze ,ARAUJO Natalia,1,0
11-Oct-98,1964152,Brazil,BRA,Volleyball,Women,Female,3,,Bronze ,ALEXANDRE COSTA NUNES Nyeme Victor,1,0
22-Feb-99,1964076,Brazil,BRA,Volleyball,Women,Female,3,,Bronze ,DUARTE ALECRIM Diana,1,0
09-Mar-00,1964183,Brazil,BRA,Volleyball,Women,Female,3,,Bronze ,LEMES SANTOS Tainara,1,0
21-Feb-01,1964106,Brazil,BRA,Volleyball,Women,Female,3,,Bronze ,BERGMANN Julia Isabelle,1,0
07-Apr-04,1964065,Brazil,BRA,Volleyball,Women,Female,3,,Bronze ,MENEZES OLIVEIRA de SOUZA Ana Cris,1,0
16-Mar-91,1968858,Netherlands,NED,Water Polo,Women,Female,3,,Bronze ,van der SLOOT Sabrina,1,0
28-Feb-93,1968847,Netherlands,NED,Water Polo,Women,Female,3,,Bronze ,SEVENICH Vivian,1,0
09-May-94,1968848,Netherlands,NED,Water Polo,Women,Female,3,,Bronze ,WOLVES Iris,1,0
10-Aug-96,1968845,Netherlands,NED,Water Polo,Women,Female,3,,Bronze ,AARTS Laura,1,0
02-Oct-97,1968851,Netherlands,NED,Water Polo,Women,Female,3,,Bronze ,ROGGE Bente,1,0
11-Jan-98,1968856,Netherlands,NED,Water Polo,Women,Female,3,,Bronze ,JOUSTRA Kittylynn,1,0
19-Mar-98,1968857,Netherlands,NED,Water Polo,Women,Female,3,,Bronze ,SLEEKING Brigitte,1,0
26-Apr-98,1968860,Netherlands,NED,Water Polo,Women,Female,3,,Bronze ,KEUNING Maartje,1,0
20-Mar-00,1968846,Netherlands,NED,Water Polo,Women,Female,3,,Bronze ,BUIS Sarah,1,0
15-Nov-00,1968855,Netherlands,NED,Water Polo,Women,Female,3,,Bronze ,van de KRAATS Simone,1,0
30-Nov-00,1968850,Netherlands,NED,Water Polo,Women,Female,3,,Bronze ,ROGGE Lieke,1,0
04-Jul-01,1968853,Netherlands,NED,Water Polo,Women,Female,3,,Bronze ,TEN BROEK Nina,1,0
17-Aug-04,1968854,Netherlands,NED,Water Polo,Women,Female,3,,Bronze ,MOOLHUIJZEN Lola,1,0
19-Oct-91,1898807,Germany,GER,3x3 Basketball,Women,Female,1,,Gold ,BRUNCKHORST Svenja,1,0
01-Jul-92,1898816,Germany,GER,3x3 Basketball,Women,Female,1,,Gold ,GREINACHER Sonja,1,0
16-Apr-01,1898835,Germany,GER,3x3 Basketball,Women,Female,1,,Gold ,REICHERT Marie,1,0
23-Apr-04,1898870,Germany,GER,3x3 Basketball,Women,Female,1,,Gold ,MEVIUS Elisa,1,0
13-Jun-03,1902147,Korea,KOR,Archery,Mixed Team,Female,1,,Gold ,LIM Sihyeon,1,0
16-Jan-97,1908852,China,CHN,Artistic Swimming,Team,Female,1,,Gold ,WANG Liuyi,1,0
16-Jan-97,1908853,China,CHN,Artistic Swimming,Team,Female,1,,Gold ,WANG Qianyi,1,0
28-Apr-97,1908847,China,CHN,Artistic Swimming,Team,Female,1,,Gold ,CHANG Hao,1,0
06-May-97,1908851,China,CHN,Artistic Swimming,Team,Female,1,,Gold ,ZHANG Yayi,1,0
23-Feb-98,1908854,China,CHN,Artistic Swimming,Team,Female,1,,Gold ,XIAO Yanning,1,0
18-May-98,1908848,China,CHN,Artistic Swimming,Team,Female,1,,Gold ,CHENG Wentao,1,0
30-Sep-99,1908846,China,CHN,Artistic Swimming,Team,Female,1,,Gold ,FENG Yu,1,0
14-Nov-99,1908850,China,CHN,Artistic Swimming,Team,Female,1,,Gold ,WANG Ciyue,1,0
16-Nov-01,1908855,China,CHN,Artistic Swimming,Team,Female,1,,Gold ,XIANG Binxuan,1,0
06-Nov-96,1972240,Netherlands,NED,Athletics,4 x 400m Relay Mixed,Female,1,,Gold ,PEETERS Cathelijn,1,0
20-Aug-98,1972115,Netherlands,NED,Athletics,4 x 400m Relay Mixed,Female,1,,Gold ,KLAVER Lieke,1,0
23-Feb-00,1972078,Netherlands,NED,Athletics,4 x 400m Relay Mixed,Female,1,,Gold ,BOL Femke,1,0
29-Apr-96,1905369,Spain,ESP,Athletics,Marathon Race Walk Relay Mixed,Female,1,,Gold ,PEREZ Maria,1,0
24-Feb-96,1960115,United States,USA,Athletics,Women's 4 x 100m Relay,Female,1,,Gold ,HOBBS Aleia,1,0
07-Dec-96,1965868,United States,USA,Athletics,Women's 4 x 100m Relay,Female,1,,Gold ,THOMAS Gabrielle,1,0
24-Jan-99,1965942,United States,USA,Athletics,Women's 4 x 100m Relay,Female,1,,Gold ,TERRY Twanisha,1,0
25-Mar-00,1960181,United States,USA,Athletics,Women's 4 x 100m Relay,Female,1,,Gold ,RICHARDSON Sha'carri,1,0
21-Feb-01,1961011,United States,USA,Athletics,Women's 4 x 100m Relay,Female,1,,Gold ,JEFFERSON Melissa,1,0
15-Feb-03,1960709,United States,USA,Athletics,Women's 4 x 100m Relay,Female,1,,Gold ,DAVIS Tamari,1,0
07-Mar-92,1961016,United States,USA,Athletics,Women's 4 x 400m Relay,Female,1,,Gold ,HAYES Quanera,1,0
20-Mar-95,1960179,United States,USA,Athletics,Women's 4 x 400m Relay,Female,1,,Gold ,LITTLE Shamier,1,0
08-Mar-96,1960984,United States,USA,Athletics,Women's 4 x 400m Relay,Female,1,,Gold ,ELLIS Kendall,1,0
28-Jan-00,1960909,United States,USA,Athletics,Women's 4 x 400m Relay,Female,1,,Gold ,HOLMES Alexis,1,0
05-Nov-03,4979555,United States,USA,Athletics,Women's 4 x 400m Relay,Female,1,,Gold ,BUTLER Aaliyah,1,0
31-Dec-04,1960650,United States,USA,Athletics,Women's 4 x 400m Relay,Female,1,,Gold ,BROWN Kaylyn,1,0
28-Feb-94,1913432,China,CHN,Badminton,Mixed Doubles,Female,1,,Gold ,HUANG Ya Qiong,1,0
23-Jun-97,1913438,China,CHN,Badminton,Women's Doubles,Female,1,,Gold ,CHEN Qing Chen,1,0
29-Jun-97,1913439,China,CHN,Badminton,Women's Doubles,Female,1,,Gold ,JIA Yi Fan,1,0
11-Jun-82,1954753,United States,USA,Basketball,Women,Female,1,,Gold ,TAURASI Diana,1,0
18-Oct-90,1954735,United States,USA,Basketball,Women,Female,1,,Gold ,GRINER Brittney,1,0
12-Apr-92,1954754,United States,USA,Basketball,Women,Female,1,,Gold ,THOMAS Alyssa,1,0
08-Oct-92,1954734,United States,USA,Basketball,Women,Female,1,,Gold ,GRAY Chelsea,1,0
05-Oct-93,1954742,United States,USA,Basketball,Women,Female,1,,Gold ,LOYD Jewell,1,0
24-Aug-94,1954748,United States,USA,Basketball,Women,Female,1,,Gold ,PLUM Kelsey,1,0
27-Aug-94,1954752,United States,USA,Basketball,Women,Female,1,,Gold ,STEWART Breanna,1,0
28-Aug-94,1954730,United States,USA,Basketball,Women,Female,1,,Gold ,COPPER Kahleah,1,0
08-Aug-96,1954757,United States,USA,Basketball,Women,Female,1,,Gold ,WILSON A'ja,1,0
23-Sep-96,1954729,United States,USA,Basketball,Women,Female,1,,Gold ,COLLIER Napheesa,1,0
16-Sep-97,1954758,United States,USA,Basketball,Women,Female,1,,Gold ,YOUNG Jackie,1,0
06-Dec-97,1954739,United States,USA,Basketball,Women,Female,1,,Gold ,IONESCU Sabrina,1,0
29-Sep-97,1964058,Brazil,BRA,Beach Volleyball,Women,Female,1,,Gold ,SILVA RAMOS Ana Patricia,1,0
01-Aug-98,1964088,Brazil,BRA,Beach Volleyball,Women,Female,1,,Gold ,SANTOS LISBOA Eduarda,1,0
23-Jun-89,1945383,New Zealand,NZL,Canoe Sprint,Women's Kayak Four 500m,Female,1,,Gold ,CARRINGTON Lisa,1,0
06-Feb-00,1945378,New Zealand,NZL,Canoe Sprint,Women's Kayak Four 500m,Female,1,,Gold ,HOSKIN Alicia,1,0
18-Jun-01,1945392,New Zealand,NZL,Canoe Sprint,Women's Kayak Four 500m,Female,1,,Gold ,BRETT Olivia,1,0
28-Dec-03,1945375,New Zealand,NZL,Canoe Sprint,Women's Kayak Four 500m,Female,1,,Gold ,VAUGHAN Tara,1,0
30-Jan-93,1957082,Great Britain,GBR,Cycling Track,Women's Team Sprint,Female,1,,Gold ,MARCHANT Katy,1,0
04-Sep-98,1912514,Great Britain,GBR,Cycling Track,Women's Team Sprint,Female,1,,Gold ,CAPEWELL Sophie,1,0
03-Mar-99,1912564,Great Britain,GBR,Cycling Track,Women's Team Sprint,Female,1,,Gold ,THOMAS Lowri,1,0
22-Dec-02,1912522,Great Britain,GBR,Cycling Track,Women's Team Sprint,Female,1,,Gold ,FINUCANE Emma,1,0
24-Jun-99,1923048,Italy,ITA,Cycling Track,Women's Madison,Female,1,,Gold ,CONSONNI Chiara,1,0
26-Dec-00,1923042,Italy,ITA,Cycling Track,Women's Madison,Female,1,,Gold ,GUAZZINI Vittoria,1,0
18-Dec-92,1955081,United States,USA,Cycling Track,Women's Team Pursuit,Female,1,,Gold ,FAULKNER Kristen,1,0
25-Dec-93,1955080,United States,USA,Cycling Track,Women's Team Pursuit,Female,1,,Gold ,EHRLICH Emily,1,0
24-Jun-94,1955108,United States,USA,Cycling Track,Women's Team Pursuit,Female,1,,Gold ,WILLIAMS Lily,1,0
24-Dec-94,1955106,United States,USA,Cycling Track,Women's Team Pursuit,Female,1,,Gold ,VALENTE Jennifer,1,0
01-Jan-97,1955079,United States,USA,Cycling Track,Women's Team Pursuit,Female,1,,Gold ,DYGERT Chloe,1,0
06-Aug-03,1955077,United States,USA,Cycling Track,Women's Team Pursuit,Female,1,,Gold ,CUMMINS Olivia,1,0
21-Jul-69,1914909,Germany,GER,Equestrian,Dressage Team,Female,1,,Gold ,WERTH Isabell,1,0
16-Feb-86,1914905,Germany,GER,Equestrian,Dressage Team,Female,1,,Gold ,von BREDOW-WERNDL Jessica,1,0
04-Sep-90,1897644,Ukraine,UKR,Fencing,Women's Sabre Team,Female,1,,Gold ,KHARLAN Olga,1,0
22-Jun-92,1897637,Ukraine,UKR,Fencing,Women's Sabre Team,Female,1,,Gold ,KRAVATSKA Olena,1,0
24-Apr-93,1897638,Ukraine,UKR,Fencing,Women's Sabre Team,Female,1,,Gold ,KOMASHCHUK Alina,1,0
26-Jun-96,1897633,Ukraine,UKR,Fencing,Women's Sabre Team,Female,1,,Gold ,BAKASTOVA Yuliia,1,0
15-Jun-94,1950611,United States,USA,Fencing,Women's Foil Team,Female,1,,Gold ,KIEFER Lee,1,0
18-Jul-94,1950584,United States,USA,Fencing,Women's Foil Team,Female,1,,Gold ,DUBROVICH Jacqueline,1,0
24-Oct-02,1950659,United States,USA,Fencing,Women's Foil Team,Female,1,,Gold ,WEINTRAUB Maia Mei,1,0
27-Jan-03,1950643,United States,USA,Fencing,Women's Foil Team,Female,1,,Gold ,SCRUGGS Lauren,1,0
20-Apr-88,1943575,United States,USA,Football,Women,Female,1,,Gold ,NAEHER Alyssa,1,0
23-Aug-90,1943566,United States,USA,Football,Women,Female,1,,Gold ,KRUEGER Casey,1,0
03-Jul-92,1943588,United States,USA,Football,Women,Female,1,,Gold ,DUNN Crystal,1,0
21-May-93,1943596,United States,USA,Football,Women,Female,1,,Gold ,WILLIAMS Lynn,1,0
25-Nov-93,1943587,United States,USA,Football,Women,Female,1,,Gold ,SONNETT Emily,1,0
26-May-94,1943558,United States,USA,Football,Women,Female,1,,Gold ,HORAN Lindsey,1,0
14-May-95,1943567,United States,USA,Football,Women,Female,1,,Gold ,LAVELLE Rose,1,0
25-Apr-96,1943574,United States,USA,Football,Women,Female,1,,Gold ,MURPHY Casey,1,0
29-Apr-98,1943591,United States,USA,Football,Women,Female,1,,Gold ,SWANSON Mallory,1,0
05-Jul-98,1943553,United States,USA,Football,Women,Female,1,,Gold ,FOX Emily,1,0
19-Sep-98,1943550,United States,USA,Football,Women,Female,1,,Gold ,DAVIDSON Tierna,1,0
31-Dec-98,1943547,United States,USA,Football,Women,Female,1,,Gold ,COFFEY Samantha,1,0
01-Jul-99,1943569,United States,USA,Football,Women,Female,1,,Gold ,SAMS Emily,1,0
14-Jun-00,1943555,United States,USA,Football,Women,Female,1,,Gold ,GIRMA Naomi,1,0
10-Aug-00,1943586,United States,USA,Football,Women,Female,1,,Gold ,SMITH Sophia,1,0
28-Nov-00,1943576,United States,USA,Football,Women,Female,1,,Gold ,NIGHSWONGER Jenna,1,0
14-Mar-01,4665325,United States,USA,Football,Women,Female,1,,Gold ,BETHUNE Croix,1,0
20-May-02,1943580,United States,USA,Football,Women,Female,1,,Gold ,RODMAN Trinity,1,0
13-Oct-03,1943542,United States,USA,Football,Women,Female,1,,Gold ,ALBERT Korbin,1,0
20-Nov-04,1943585,United States,USA,Football,Women,Female,1,,Gold ,SHAW Jaedyn,1,0
30-Mar-80,1878509,Norway,NOR,Handball,Women,Female,1,,Gold ,LUNDE Katrine,1,0
08-Oct-86,1878487,Norway,NOR,Handball,Women,Female,1,,Gold ,HERREM Camilla,1,0
16-Jun-90,1878500,Norway,NOR,Handball,Women,Female,1,,Gold ,SOLBERG-ISAKSEN Sanna,1,0
16-Jun-90,1878492,Norway,NOR,Handball,Women,Female,1,,Gold ,SOLBERG-OESTHASSEL Silje,1,0
10-Jul-90,1878514,Norway,NOR,Handball,Women,Female,1,,Gold ,KRISTIANSEN Veronica,1,0
15-Feb-91,1878516,Norway,NOR,Handball,Women,Female,1,,Gold ,BRATTSET DALE Kari,1,0
05-Apr-91,1878486,Norway,NOR,Handball,Women,Female,1,,Gold ,MOERK Nora,1,0
25-Sep-91,1878515,Norway,NOR,Handball,Women,Female,1,,Gold ,OFTEDAL Stine Bredal,1,0
03-Mar-93,1878496,Norway,NOR,Handball,Women,Female,1,,Gold ,SKOGRAND Stine,1,0
23-Aug-93,1878511,Norway,NOR,Handball,Women,Female,1,,Gold ,BREISTOEL Kristine,1,0
25-Feb-94,1878501,Norway,NOR,Handball,Women,Female,1,,Gold ,JACOBSEN Marit,1,0
02-Mar-94,1878518,Norway,NOR,Handball,Women,Female,1,,Gold ,AARDAHL Maren,1,0
18-Dec-94,1878493,Norway,NOR,Handball,Women,Female,1,,Gold ,INGSTAD Vilde,1,0
09-Feb-99,1878495,Norway,NOR,Handball,Women,Female,1,,Gold ,REISTAD Henny,1,0
15-Jan-00,1878490,Norway,NOR,Handball,Women,Female,1,,Gold ,RUSHFELDT DEILA Thale,1,0
22-Apr-94,1971975,Netherlands,NED,Hockey,Women,Female,1,,Gold ,VERSCHOOR Maria,1,0
26-Jan-95,1971958,Netherlands,NED,Hockey,Women,Female,1,,Gold ,NUNNINK Laura,1,0
07-Sep-95,1971974,Netherlands,NED,Hockey,Women,Female,1,,Gold ,VEENENDAAL Anne,1,0
08-Nov-95,1971978,Netherlands,NED,Hockey,Women,Female,1,,Gold ,de WAARD Xan,1,0
23-Mar-96,1971945,Netherlands,NED,Hockey,Women,Female,1,,Gold ,KOOLEN Sanne,1,0
18-Nov-96,1971973,Netherlands,NED,Hockey,Women,Female,1,,Gold ,VEEN Marijn,1,0
28-Dec-96,1971950,Netherlands,NED,Hockey,Women,Female,1,,Gold ,MATLA Frederique,1,0
29-Jul-97,1971919,Netherlands,NED,Hockey,Women,Female,1,,Gold ,BURG Joosje,1,0
15-Oct-97,1971948,Netherlands,NED,Hockey,Women,Female,1,,Gold ,van LAARHOVEN Renee,1,0
11-Jun-98,1971965,Netherlands,NED,Hockey,Women,Female,1,,Gold ,SANDERS Pien,1,0
29-Nov-98,1971955,Netherlands,NED,Hockey,Women,Female,1,,Gold ,MOES Freeke,1,0
27-Jan-99,1971960,Netherlands,NED,Hockey,Women,Female,1,,Gold ,POST Lisa,1,0
28-Aug-99,1971923,Netherlands,NED,Hockey,Women,Female,1,,Gold ,DICKE Pien,1,0
18-Nov-99,1971940,Netherlands,NED,Hockey,Women,Female,1,,Gold ,JANSEN Yibbi,1,0
27-Dec-99,1971903,Netherlands,NED,Hockey,Women,Female,1,,Gold ,ALBERS Felice,1,0
24-Jan-00,1971942,Netherlands,NED,Hockey,Women,Female,1,,Gold ,JOCHEMS Marleen,1,0
09-Mar-01,1971927,Netherlands,NED,Hockey,Women,Female,1,,Gold ,FOKKE Luna Noa,1,0
25-Oct-92,1891289,France,FRA,Judo,Mixed Team,Female,1,,Gold ,AGBEGNENOU Clarisse,1,0
25-Dec-93,1891297,France,FRA,Judo,Mixed Team,Female,1,,Gold ,MALONGA Madeleine,1,0
12-Jul-95,1891283,France,FRA,Judo,Mixed Team,Female,1,,Gold ,BUCHARD Amandine,1,0
27-Nov-96,1891292,France,FRA,Judo,Mixed Team,Female,1,,Gold ,GAHIE Marie Eve,1,0
06-Jul-98,1891286,France,FRA,Judo,Mixed Team,Female,1,,Gold ,CYSIQUE Sarah Leonie,1,0
24-Jan-99,1891280,France,FRA,Judo,Mixed Team,Female,1,,Gold ,BOUKLI Shirine,1,0
30-Sep-99,1891300,France,FRA,Judo,Mixed Team,Female,1,,Gold ,DICKO Romane,1,0
30-Nov-92,1901048,Great Britain,GBR,Rowing,Lightweight Women's Double Sculls,Female,1,,Gold ,CRAIG Emily,1,0
26-Feb-96,1901071,Great Britain,GBR,Rowing,Lightweight Women's Double Sculls,Female,1,,Gold ,GRANT Imogen,1,0
14-Oct-93,1901039,Great Britain,GBR,Rowing,Women's Quadruple Sculls,Female,1,,Gold ,BRAYSHAW Georgina,1,0
16-Apr-98,1901027,Great Britain,GBR,Rowing,Women's Quadruple Sculls,Female,1,,Gold ,ANDERSON Lola,1,0
18-Jun-99,1901091,Great Britain,GBR,Rowing,Women's Quadruple Sculls,Female,1,,Gold ,SCOTT Hannah,1,0
21-Dec-01,1901074,Great Britain,GBR,Rowing,Women's Quadruple Sculls,Female,1,,Gold ,HENRY Lauren,1,0
09-Mar-88,1965560,Netherlands,NED,Rowing,Women's Four,Female,1,,Gold ,OLDENBURG Marloes,1,0
05-Oct-93,1965566,Netherlands,NED,Rowing,Women's Four,Female,1,,Gold ,OFFEREINS Tinka,1,0
